"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PIGT",-2.46814495241976,4.5521771203915,-12.2437417977609,1.8176482074808e-19,2.91514419515771e-15,33.7794795789291,"PIGT","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.IMP3",-3.04395707883735,3.51075852248814,-10.5409143582788,2.18699489806712e-16,1.19834925371795e-12,26.8406932853049,"IMP3","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PHACTR1",5.32166065908916,7.27848729276437,10.4733030364532,2.98877479415875e-16,1.19834925371795e-12,26.5311139081162,"PHACTR1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.LINC00923",-5.73549873097597,1.80205694880941,-10.5068317336713,2.54887833985984e-16,1.19834925371795e-12,26.3499161581053,"LINC00923","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.LGALS3BP",-4.7536296151094,4.16012162467756,-10.1645258477576,1.11997963037561e-15,3.34164576562415e-12,25.3077668911426,"LGALS3BP","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SPR",-3.78044539746306,1.2612592349227,-10.1323739987089,1.25014806046545e-15,3.34164576562415e-12,25.0380880584538,"SPR","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.STMN1",-4.80190878087924,3.74725907204767,-10.063403424791,1.70156570594836e-15,3.89853011314284e-12,24.835328060487,"STMN1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SOX2",-5.18070135441598,-0.0219306087756726,-9.88831038604921,3.56414387761715e-15,7.14521743865298e-12,23.5987292937519,"SOX2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.TM9SF1",-2.00643564229677,3.70249827928532,-9.63186908051066,1.07628486582363e-14,1.69014731795224e-11,23.0797896960795,"TM9SF1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.HINT2",-2.93576428526616,2.81311436395723,-9.61467788837202,1.15922312616751e-14,1.69014731795224e-11,22.9934889986865,"HINT2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
