"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"GLCE",2.29028067059163,4.44002059828545,6.69437652592423,4.00657998683683e-09,7.13131171857087e-05,10.5292361362415,"GLCE"
"ADCY1",-2.85763743868441,3.59246992455786,-5.88346776546539,1.16306897893217e-07,0.000761352998246725,7.38411602713972,"ADCY1"
"SAMD3",-3.74394591986427,2.96194743407653,-5.78865113030528,1.71100173773071e-07,0.000761352998246725,6.68160788925259,"SAMD3"
"NELL1",3.7228021715689,2.42051543371057,5.67637113854068,2.71271389939693e-07,0.000965671893907321,6.61681205784224,"NELL1"
"PAX8",-4.86501205383491,1.44087223596056,-5.80882593477534,1.57634041783754e-07,0.000761352998246725,6.14656049333887,"PAX8"
"FBLN7",-2.79282081004801,2.54126443775166,-5.52472506640265,4.9570680431627e-07,0.00147051423500422,5.85354323453195,"FBLN7"
"C17orf97",2.29351269403377,1.41058803961011,5.30245980864849,1.19778789326802e-06,0.00266492833903469,5.1300821839949,"C17orf97"
"LANCL3",-3.84527264895209,1.39048787008845,-5.32088371317752,1.11388598839988e-06,0.00266492833903469,5.08348051275585,"LANCL3"
"PAX8-AS1",-6.02306314251249,4.09701457594131,-5.24409558062493,1.51415280538037e-06,0.00299448953144058,4.80573346971186,"PAX8-AS1"
"ZNF662",-4.15873969435882,2.2628126159492,-5.20236314869688,1.77822508863605e-06,0.00316506283526331,4.73802341176452,"ZNF662"
"GHR",2.8468628711879,4.2661463297431,5.08018654422364,2.85711418167085e-06,0.00457741915137207,4.45568254198323,"GHR"
"MND1",1.92347004060651,1.46204333956431,5.06001616006677,3.08607392642647e-06,0.00457741915137207,4.30629157746801,"MND1"
"RHBDL3",-1.79557654396702,3.96638055336603,-4.84614680506378,7.00420200070966e-06,0.00958745900651898,3.62562828596892,"RHBDL3"
"CREB5",3.02405641453704,6.02226054351311,4.77547161894939,9.18582909304254e-06,0.0108999048018043,3.3790679660719,"CREB5"
"TMEM200A",-5.56995021540377,2.04819835858075,-4.82740150670412,7.54112175354041e-06,0.00958745900651898,3.05417987810683,"TMEM200A"
"SNTG2",4.20259690333958,2.51565016733446,4.67749377834058,1.32669167749092e-05,0.014758615729788,3.00040238818749,"SNTG2"
"SLC6A17",-2.73744944468067,2.99571817963203,-4.60699311068241,1.72114034616578e-05,0.0159660965261183,2.80306676047664,"SLC6A17"
"TRAF5",1.33782956445594,5.70846889325026,4.5822962543751,1.88374642984709e-05,0.0159660965261183,2.69864471623031,"TRAF5"
"VIM-AS1",-2.52216142291398,2.73947201858182,-4.59216432082702,1.81615678722943e-05,0.0159660965261183,2.68222875459169,"VIM-AS1"
"INTS6L",-2.81391497180911,5.00913841679713,-4.5442861718624,2.16912904425731e-05,0.0168402580412055,2.58919137555326,"INTS6L"
"DRD2",-3.40513699040493,2.22608910251494,-4.53586745225379,2.24299447923197e-05,0.0168402580412055,2.55791155710626,"DRD2"
"F12",3.10842246849479,-0.459962552364948,4.62352002204812,1.61667619308865e-05,0.0159660965261183,2.32962422392741,"F12"
"NAALADL1",-3.57674751379822,0.944822180539934,-4.59205834093607,1.81686999458241e-05,0.0159660965261183,2.26736183613079,"NAALADL1"
"NCKAP5-AS1",-2.9638843550862,0.200950663245405,-4.53168038337046,2.27072415859842e-05,0.0168402580412055,2.19265933531152,"NCKAP5-AS1"
"TRIM55",-3.15364710341214,-0.0948271922742107,-4.50487509724972,2.50588485824126e-05,0.0178408978367345,2.18835228863233,"TRIM55"
"NEURL1B",2.5092197282782,3.12033240228104,4.39400909112807,3.75537028335407e-05,0.0223481336349149,2.0719546566845,"NEURL1B"
"LINC00654",-1.97486436358851,1.75683431241973,-4.40964580402193,3.54815932002225e-05,0.0223481336349149,2.05724051928568,"LINC00654"
"CELF5",2.9207554266329,1.2665874746393,4.38313630924015,3.90631272609845e-05,0.0223481336349149,2.03178877525177,"CELF5"
"CCND2",-1.85760954820683,5.93127922062679,-4.37301602535519,4.05207857009832e-05,0.0223481336349149,2.00120746361214,"CCND2"
"BTBD6",-3.23557263086961,1.93010573193763,-4.42216214059288,3.3903247251124e-05,0.0223481336349149,1.94151491135447,"BTBD6"
"TRIP10",-2.2059686319913,3.14354767045896,-4.36394309120966,4.18722714309925e-05,0.0223481336349149,1.91933558463124,"TRIP10"
"FBXO30",-0.996812985030815,4.67246237416009,-4.34702430044334,4.45099682385596e-05,0.0223481336349149,1.9158019079227,"FBXO30"
"PLA2G4C",-1.85709076141655,4.89948071699524,-4.34530822118224,4.47863251367782e-05,0.0223481336349149,1.91249414289322,"PLA2G4C"
"RAB33A",-2.5027702738565,1.67872856508406,-4.33561547267999,4.63787023232782e-05,0.0223481336349149,1.8847787406052,"RAB33A"
"KLF8",-2.05810355525911,2.23935639744924,-4.34796448637187,4.4359261685755e-05,0.0223481336349149,1.88083484401535,"KLF8"
"TEAD3",2.02503625217017,2.84135167989154,4.32933979488514,4.74387841398195e-05,0.0223481336349149,1.8806001067452,"TEAD3"
"CPT1C",-2.58589396404326,2.20167048658983,-4.32774331392668,4.77121792306741e-05,0.0223481336349149,1.86989015731821,"CPT1C"
"BOK",-2.30635750664493,1.4234816167657,-4.33604159352786,4.63075596427301e-05,0.0223481336349149,1.86880944888968,"BOK"
"CGNL1",4.47270609780477,2.55262843182102,4.26219964349395,6.0506071828212e-05,0.0276140403197525,1.62840829196554,"CGNL1"
"EPHX2",-3.70192975239899,2.55430808338444,-4.23045350118809,6.77513995068532e-05,0.0294123697517678,1.55836545511495,"EPHX2"
"DDAH1",2.09977084807971,4.43588008915478,4.21536396080085,7.13062492239468e-05,0.0302185697604055,1.50919897356557,"DDAH1"
"AK5",-2.86127118133982,2.53127215346671,-4.18633497633841,7.91247240649377e-05,0.0327521154332983,1.42135286538015,"AK5"
"CDO1",-2.24592796367215,1.41439324690673,-4.17665248372951,8.17879547764476e-05,0.0328853307088025,1.38384769434406,"CDO1"
"OPRL1",2.51643296417269,-0.0333626425335424,4.23950711159184,6.54390782989458e-05,0.0291187538660734,1.23993762068218,"OPRL1"
"NALCN-AS1",2.41418140069624,1.46936304606354,4.12602769422907,9.77569303845998e-05,0.0347995120783098,1.22968393668836,"NALCN-AS1"
"WRAP53",1.19699932333868,1.95340745964743,4.11658398655582,0.000101051295358133,0.0352669020799884,1.20108914367991,"WRAP53"
"LRRC61",-3.59610190110628,0.543513377982909,-4.1471707503456,9.0752359483533e-05,0.0336521093009876,1.10485723438293,"LRRC61"
"CHRNB4",-2.1556636613265,1.30373995334915,-4.08305286294177,0.00011363438265171,0.0359047658006363,1.09675151201471,"CHRNB4"
"MDFIC",2.224944663618,5.33639311444185,4.08182820986307,0.000114121392612762,0.0359047658006363,1.09329075799893,"MDFIC"
"PEPD",-0.917201369193281,5.79064915595688,-4.10338296122235,0.000105836143574633,0.0359047658006363,1.08896830298583,"PEPD"
"OSBPL5",2.57295595383964,3.69937154560875,4.07967536018521,0.000114982395114123,0.0359047658006363,1.0811015005595,"OSBPL5"
"MBP",-2.27629454988465,5.548345460318,-4.08003374775088,0.00011483863039253,0.0359047658006363,1.07913113727013,"MBP"
"TRIM16",1.19267196050263,3.84284894318219,4.08297641693952,0.000113664724427902,0.0359047658006363,1.07825766257143,"TRIM16"
"PIMREG",2.21954865375731,-0.186607442976088,4.15968563199889,8.68369314744489e-05,0.0328853307088025,1.07545445798427,"PIMREG"
"PODNL1",1.79720093280764,0.0091321372605082,4.13281085761478,9.54548008142385e-05,0.0346734693814823,1.06773335655914,"PODNL1"
"SLC2A10",-3.77726390984917,1.53366986524056,-4.1631919645874,8.57694792538409e-05,0.0328853307088025,1.04202476552858,"SLC2A10"
"SMYD4",0.935171609993053,4.67312068443611,4.06696203135842,0.000120195832704844,0.0368856142467847,1.00865233486512,"SMYD4"
"NKX6-1",-4.07300382368738,-0.260676421608996,-4.16636516760316,8.48143609148661e-05,0.0328853307088025,0.960755831674566,"NKX6-1"
"EZH2",1.34473931558177,5.830346580986,4.04845985226849,0.000128191438924929,0.0386725325665222,0.915906746093579,"EZH2"
"LRRN2",-2.94945855640056,3.54644557960309,-4.02396710472421,0.000139861978396664,0.0395143389441622,0.87187479626213,"LRRN2"
"GPAT3",-2.12528140493744,3.31229147286555,-4.0053989571015,0.000148829316035066,0.0407540460939715,0.849654398737823,"GPAT3"
"TNFRSF19",2.56022434694495,3.13909563298574,4.00625193618018,0.000148575769173738,0.0407540460939715,0.84384741144774,"TNFRSF19"
"DLG2",-1.5941651700644,7.80662145604974,-4.0379836465021,0.000132943020827777,0.0387910299625181,0.825209550293935,"DLG2"
"RSPO1",4.61886758999251,-0.147597977573616,4.03371580246311,0.000135177980617383,0.0388069818872387,0.751774198268294,"RSPO1"
"ANKH",-1.54579564517492,8.04350180709893,-3.99856041732353,0.000152387624695302,0.0410961716962375,0.707120955003811,"ANKH"
"HSF4",1.34904892128298,2.63869658327422,3.95816715055049,0.000175131979834515,0.0465249867026049,0.698265395035087,"HSF4"
"COCH",-1.77198891689559,1.67064792865292,-3.93019962313948,0.000192752477126302,0.0492269684258908,0.627588797627556,"COCH"
"PNMA8A",-2.23853547753089,1.41495939021569,-3.92891697871369,0.000193600078083733,0.0492269684258908,0.619470128915409,"PNMA8A"
"CHST8",-3.44781009918767,2.002082816332,-3.91258280565163,0.000205107470506228,0.0507042759380605,0.570695085203213,"CHST8"
"EPAS1",1.73298992362652,7.78453479302371,3.93478997205831,0.000189779902556587,0.0492269684258908,0.522524505023584,"EPAS1"
"GPD2",-0.995147040135991,6.10863781004193,-3.91756136879797,0.000201261676646221,0.0504543180651562,0.516763362830789,"GPD2"
"PROSER3",0.640348906211413,3.62217375038575,3.89757722201402,0.000215456236201382,0.050938413955343,0.489735605367577,"PROSER3"
"GNAI1",1.44320995807502,5.1162020165291,3.89734749171813,0.000215624860268923,0.050938413955343,0.451236414400341,"GNAI1"
"NDC80",1.65152000449887,1.91507148690589,3.86775576063251,0.000238435625876149,0.0526216392707637,0.433710019091555,"NDC80"
"MYH10",1.04889576893103,5.85031236819571,3.89480157091094,0.000217502076555204,0.050938413955343,0.408843293688287,"MYH10"
"SLC16A14",-2.55922075554024,1.26654593667523,-3.87074502303532,0.000236030368094266,0.0526216392707637,0.394126336031836,"SLC16A14"
"LINC01303",-2.52872528029528,0.204270112436941,-4.03837407097187,0.000132762940772559,0.0387910299625181,0.355322173344944,"LINC01303"
"TTC39C",-1.28999912393641,6.27170423515817,-3.8754015197452,0.000232329834413961,0.0526216392707637,0.35253373185602,"TTC39C"
"EFNB2",1.91483758783197,3.50366717432545,3.83654142745042,0.00026499491056225,0.0547871575198401,0.345208538649816,"EFNB2"
"SLC7A8",-2.00368867215533,3.48641390657252,-3.83789973828975,0.000263782476531703,0.0547871575198401,0.343915136156027,"SLC7A8"
"PDE3B",1.62333362994981,6.49130072259107,3.8628573009809,0.000242427912815474,0.0526216392707637,0.325613919274567,"PDE3B"
"TNFRSF14",2.90728716722927,3.55338291495717,3.86316096009377,0.000242178578273605,0.0526216392707637,0.321845139160257,"TNFRSF14"
"C8orf58",1.18336418266966,1.83256500541518,3.81709244834125,0.000282950779981799,0.0547871575198401,0.286914688963292,"C8orf58"
"RCBTB2",-1.0516464257266,4.82858529959624,-3.82336790029098,0.000277033611651035,0.0547871575198401,0.2814252090886,"RCBTB2"
"EDA",1.88937706900049,5.63989924631076,3.83052864191419,0.000270426289732634,0.0547871575198401,0.276890696139893,"EDA"
"TMTC2",1.48595369127364,6.37851799034579,3.84467881398607,0.000257810380356762,0.0547871575198401,0.252707400595774,"TMTC2"
"CCDC85A",3.10087004457065,3.21452016046146,3.80922691179614,0.000291052208295327,0.0547871575198401,0.247099623600111,"CCDC85A"
"MIS12",0.844933915099944,3.9475259807257,3.81678573978106,0.000283243054189365,0.0547871575198401,0.243189506856461,"MIS12"
