"","Gene","Cluster"
"Chromaffin_cells1","GGT7","Chromaffin_cells"
"Chromaffin_cells2","TOM1L1","Chromaffin_cells"
"Chromaffin_cells3","SHTN1","Chromaffin_cells"
"Chromaffin_cells4","DTX3","Chromaffin_cells"
"Chromaffin_cells5","CCP110","Chromaffin_cells"
"Chromaffin_cells6","ORC4","Chromaffin_cells"
"Chromaffin_cells7","ZNF382","Chromaffin_cells"
"Chromaffin_cells8","FASTKD1","Chromaffin_cells"
"Chromaffin_cells9","NNT","Chromaffin_cells"
"Chromaffin_cells10","CLDN12","Chromaffin_cells"
"Chromaffin_cells11","GTF2H3","Chromaffin_cells"
"Chromaffin_cells12","TMEM175","Chromaffin_cells"
"Chromaffin_cells13","RSBN1L","Chromaffin_cells"
"Chromaffin_cells14","GAS8","Chromaffin_cells"
"Chromaffin_cells15","ARL3","Chromaffin_cells"
"Chromaffin_cells16","MAPT","Chromaffin_cells"
"Chromaffin_cells17","FKBP14","Chromaffin_cells"
"Chromaffin_cells18","MAP3K21","Chromaffin_cells"
"Chromaffin_cells19","WDR17","Chromaffin_cells"
"Chromaffin_cells20","HAND2-AS1","Chromaffin_cells"
"Chromaffin_cells21","SV2A","Chromaffin_cells"
"Chromaffin_cells22","SFXN4","Chromaffin_cells"
"Chromaffin_cells23","SARM1","Chromaffin_cells"
"Chromaffin_cells24","RUFY3","Chromaffin_cells"
"Chromaffin_cells25","ATP6V0A1","Chromaffin_cells"
"Chromaffin_cells26","PAQR6","Chromaffin_cells"
"Chromaffin_cells27","TLX2","Chromaffin_cells"
"Chromaffin_cells28","DZIP3","Chromaffin_cells"
"Chromaffin_cells29","ABHD18","Chromaffin_cells"
"Chromaffin_cells30","MAST1","Chromaffin_cells"
"Chromaffin_cells31","ZNF780B","Chromaffin_cells"
"Chromaffin_cells32","FN3K","Chromaffin_cells"
"Chromaffin_cells33","STRADB","Chromaffin_cells"
"Chromaffin_cells34","PSD","Chromaffin_cells"
"Chromaffin_cells35","COPS4","Chromaffin_cells"
"Chromaffin_cells36","ZNF529","Chromaffin_cells"
"Chromaffin_cells37","TTC3","Chromaffin_cells"
"Chromaffin_cells38","UQCRC2","Chromaffin_cells"
"Chromaffin_cells39","CEP290","Chromaffin_cells"
"Chromaffin_cells40","IPO9","Chromaffin_cells"
"Chromaffin_cells41","ASPHD1","Chromaffin_cells"
"Chromaffin_cells42","ABCB7","Chromaffin_cells"
"Chromaffin_cells43","TBL1X","Chromaffin_cells"
"Chromaffin_cells44","L2HGDH","Chromaffin_cells"
"Chromaffin_cells45","NUP58","Chromaffin_cells"
"Chromaffin_cells46","ACBD6","Chromaffin_cells"
"Chromaffin_cells47","TIMM44","Chromaffin_cells"
"Chromaffin_cells48","CEP164","Chromaffin_cells"
"Chromaffin_cells49","MICU2","Chromaffin_cells"
"Chromaffin_cells50","SPEG","Chromaffin_cells"
"Chromaffin_cells51","POGZ","Chromaffin_cells"
"Chromaffin_cells52","FBXO41","Chromaffin_cells"
"Chromaffin_cells53","ACTL6B","Chromaffin_cells"
"Chromaffin_cells54","CEP295","Chromaffin_cells"
"Chromaffin_cells55","CRYZL1","Chromaffin_cells"
"Chromaffin_cells56","SSBP1","Chromaffin_cells"
"Chromaffin_cells57","SLC25A12","Chromaffin_cells"
"Chromaffin_cells58","CA11","Chromaffin_cells"
"Chromaffin_cells59","SCRN1","Chromaffin_cells"
"Chromaffin_cells60","TRIM37","Chromaffin_cells"
"Chromaffin_cells61","KCNH2","Chromaffin_cells"
"Chromaffin_cells62","SYT14","Chromaffin_cells"
"Chromaffin_cells63","CEP44","Chromaffin_cells"
"Chromaffin_cells64","ZNF540","Chromaffin_cells"
"Chromaffin_cells65","SCN8A","Chromaffin_cells"
"Chromaffin_cells66","REEP2","Chromaffin_cells"
"Chromaffin_cells67","COPG2","Chromaffin_cells"
"Chromaffin_cells68","DICER1-AS1","Chromaffin_cells"
"Chromaffin_cells69","SMG5","Chromaffin_cells"
"Chromaffin_cells70","TMEM38B","Chromaffin_cells"
