genes,group1,avg_log2fc,geom_avg_p_val
CDH19,Sustentacular_cells,9.892347306962241,6.996063164094377e-13
PTPRZ1,Sustentacular_cells,8.69492383627481,2.6906387802212763e-12
KIRREL3,Sustentacular_cells,8.354984853339982,4.5195131652861674e-09
NKAIN3,Sustentacular_cells,7.96451170180791,4.033359151400775e-10
CHST9,Sustentacular_cells,7.7362050210373114,3.1920370914839277e-12
ZNF804B,Sustentacular_cells,7.654188200354002,7.346877905016909e-10
PRIMA1,Sustentacular_cells,7.571551984567447,8.629127333323834e-10
IL1RAPL2,Sustentacular_cells,7.536628570684182,5.372157057838698e-10
CYP27C1,Sustentacular_cells,7.15273713171409,6.296652977242109e-13
SYNPR,Sustentacular_cells,7.105919649992538,1.2399688108244671e-09
LINC01748,Sustentacular_cells,7.064695343043683,6.875757944086069e-11
HMCN1,Sustentacular_cells,6.963986799419009,4.4318790146870966e-11
SLC5A7,Sustentacular_cells,6.744203645403006,2.1693992082082825e-09
INSC,Sustentacular_cells,6.576843950588234,3.9775418057270285e-07
RASGEF1C,Sustentacular_cells,6.568550118770711,8.493707218746544e-11
TSPAN11,Sustentacular_cells,6.5450132390972655,1.971435138692207e-10
SHISA9,Sustentacular_cells,6.48660842839889,2.1106398022277637e-05
MEGF10,Sustentacular_cells,6.468989925215976,6.2661038892388685e-12
GRIN2B,Sustentacular_cells,6.446362383709534,1.8773691885587594e-09
SHC4,Sustentacular_cells,6.388301470889558,2.8641411908436396e-12
ERBB3,Sustentacular_cells,6.384514691146446,1.8387617697334105e-10
HS3ST3A1,Sustentacular_cells,6.3320145535445365,2.754379354726219e-07
FNDC1,Sustentacular_cells,6.320749404621118,1.7755636294094838e-11
XKR4,Sustentacular_cells,6.262777439051212,7.453336387512813e-05
ASPA,Sustentacular_cells,6.187517334389698,6.01349055440486e-11
SPHKAP,Sustentacular_cells,6.175636062934812,4.902126457570571e-10
LINC01608,Sustentacular_cells,6.163211978485714,7.22142962465773e-11
VSTM2B,Sustentacular_cells,6.1394952101157845,1.9782280881435054e-10
SLC35F1,Sustentacular_cells,6.13054317338773,1.145171685291084e-06
COL28A1,Sustentacular_cells,6.115536248776182,3.735180228556742e-11
COBL,Sustentacular_cells,6.0725181309073495,6.488932884090608e-05
MYOT,Sustentacular_cells,6.069937818949238,5.361918888858191e-11
GINS3,Sustentacular_cells,5.96291107542202,1.4106096205682787e-13
COL11A1,Sustentacular_cells,5.8537555801802705,1.1314763449351982e-11
CHL1,Sustentacular_cells,5.837509850195454,0.0003842768115166602
COL20A1,Sustentacular_cells,5.8324565300295586,2.034573372711917e-10
LINC00466,Sustentacular_cells,5.817716279994454,1.315034179539195e-13
LINC02698,Sustentacular_cells,5.805463795837484,1.6267120413351353e-10
SAMD5,Sustentacular_cells,5.765363920590932,4.487920620536793e-08
CRYAB,Sustentacular_cells,5.732042044298498,4.138291387146607e-09
GDNF-AS1,Sustentacular_cells,5.72756090024357,7.45308540814691e-12
SOX10,Sustentacular_cells,5.66775237207085,9.82075087903908e-08
ARHGEF26,Sustentacular_cells,5.662543605836886,2.5327724018194847e-09
ABCA8,Sustentacular_cells,5.640301838187322,2.0473500601363775e-09
GDNF,Sustentacular_cells,5.626436634227308,4.209085155567703e-11
SPATA22,Sustentacular_cells,5.574454208779344,1.2771381342303684e-12
PKN2-AS1,Sustentacular_cells,5.564449589537184,4.5275642749238857e-13
GRB14,Sustentacular_cells,5.5366338907022286,1.0265671046371454e-09
SEMA3C,Sustentacular_cells,5.531430610971328,2.1141242954883526e-05
