genes,group1,avg_log2fc,geom_avg_p_val
PTPRZ1,Sustentacular_cells,8.69492383627481,2.6906387802212763e-12
IL1RAPL2,Sustentacular_cells,7.536628570684182,5.372157057838698e-10
MEGF10,Sustentacular_cells,6.468989925215976,6.2661038892388685e-12
GRIN2B,Sustentacular_cells,6.446362383709534,1.8773691885587594e-09
ERBB3,Sustentacular_cells,6.384514691146446,1.8387617697334105e-10
COL28A1,Sustentacular_cells,6.115536248776182,3.735180228556742e-11
COL11A1,Sustentacular_cells,5.8537555801802705,1.1314763449351982e-11
CHL1,Sustentacular_cells,5.837509850195454,0.0003842768115166602
COL20A1,Sustentacular_cells,5.8324565300295586,2.034573372711917e-10
GDNF,Sustentacular_cells,5.626436634227308,4.209085155567703e-11
SEMA3C,Sustentacular_cells,5.531430610971328,2.1141242954883526e-05
PLAT,Sustentacular_cells,5.464058444869604,2.8711810069112186e-10
SLITRK2,Sustentacular_cells,5.35196644726088,1.3833103613353306e-11
CCN3,Sustentacular_cells,5.330462571930138,4.0095483655282793e-07
LGI4,Sustentacular_cells,5.328084972885708,2.3862209059637174e-08
COL9A3,Sustentacular_cells,5.284738715052656,5.981466094898466e-10
ITGB4,Sustentacular_cells,5.022501384738962,1.4055593388476004e-08
SEMA3B,Sustentacular_cells,4.92881233656118,1.3127048665798584e-12
TGFB2,Sustentacular_cells,4.810258963847442,6.239865672410519e-10
GFRA1,Sustentacular_cells,4.783294640209292,5.739521533668964e-05
RSPO3,Sustentacular_cells,4.435689316477254,0.0005112162425611627
IGSF11,Sustentacular_cells,4.40553313704519,2.8315651268687877e-05
SFRP1,Sustentacular_cells,4.342137723486514,1.1646209702928797e-06
ADAM23,Sustentacular_cells,4.3338639153415786,7.165471999378166e-09
ALK,Sustentacular_cells,4.320686655042015,0.0007471673380482649
NRXN1,Sustentacular_cells,4.3049960007557315,1.5656240309923438e-08
ANXA1,Sustentacular_cells,3.9619786645811317,2.9649362183834e-07
LRRC4C,Sustentacular_cells,3.892083642443204,0.0006166541618512545
NLGN4X,Sustentacular_cells,3.761496715249668,0.00010560604950691943
NEGR1,Sustentacular_cells,3.695221172772162,0.00021674025127539338
WNT4,Sustentacular_cells,3.5029438967580164,2.6739204347270725e-06
P2RY12,Sustentacular_cells,3.233923206551686,0.0005792732495716618
TRPM3,Sustentacular_cells,3.088528655270244,0.00785147578524525
TYRO3,Sustentacular_cells,2.717454280892506,0.0006630357664076319
COL7A1,Sustentacular_cells,2.6467770380474276,0.000891756805596122
ERBB2,Sustentacular_cells,2.61555820339172,5.613172314425827e-07
FGF2,Sustentacular_cells,2.413721087278098,0.00035607205376387256
MFAP3L,Sustentacular_cells,2.043342811489348,0.009337550526678397
DAG1,Sustentacular_cells,1.859153865696372,1.2191859694527139e-05
TMEM67,Sustentacular_cells,1.8145802896782919,5.019668766497635e-05
KREMEN1,Sustentacular_cells,1.756374209467038,0.0001116006633862883
